Time	Open	High	Low	Close	Volume
2010-06-04 00:00:00	1.1547	1.1644	1.1423	1.16235	323538	17
2010-06-06 00:00:00	1.1637	1.16455	1.1617	1.1639	20047	155
2010-06-07 00:00:00	1.1639	1.1673	1.15845	1.16285	451461	20
2010-06-08 00:00:00	1.1628	1.16415	1.14855	1.15305	432976	24
2010-06-09 00:00:00	1.153	1.15545	1.14155	1.1479	369814	20
2010-06-10 00:00:00	1.1479	1.15035	1.13975	1.1424	329246	22
2010-06-11 00:00:00	1.14245	1.1546	1.14055	1.14925	281894	29
2010-06-13 00:00:00	1.1475	1.1489	1.1436	1.1439	16229	126
2010-06-14 00:00:00	1.1439	1.1468	1.135	1.1425	365190	19
2010-06-15 00:00:00	1.1425	1.14795	1.12925	1.1332	357869	20
2010-06-16 00:00:00	1.1332	1.1339	1.12495	1.13105	316506	33
2010-06-17 00:00:00	1.13105	1.1329	1.10945	1.11117	295589	24
2010-06-18 00:00:00	1.11108	1.11305	1.10776	1.10835	194530	26
2010-06-20 00:00:00	1.1036	1.106	1.09915	1.1047	16596	152
2010-06-21 00:00:00	1.1047	1.1137	1.10085	1.1099	261356	18
2010-06-22 00:00:00	1.1099	1.112	1.10355	1.10805	301163	18
2010-06-23 00:00:00	1.10805	1.11375	1.102	1.10555	297003	19
2010-06-24 00:00:00	1.10555	1.1067	1.0982	1.1018	279036	20
2010-06-25 00:00:00	1.1018	1.1047	1.092	1.09235	276198	18
2010-06-27 00:00:00	1.09295	1.094	1.09045	1.0908	15925	15
2010-06-28 00:00:00	1.09085	1.09385	1.0817	1.0874	328561	14
2010-06-29 00:00:00	1.0874	1.0902	1.0801	1.08245	278160	16
2010-06-30 00:00:00	1.08245	1.0855	1.0752	1.0784	293292	20
2010-07-01 00:00:00	1.0784	1.0789	1.0578	1.06065	247942	18
2010-07-02 00:00:00	1.06065	1.0697	1.05855	1.0625	200862	20
2010-07-04 00:00:00	1.06267	1.0647	1.06258	1.06455	17455	20
2010-07-05 00:00:00	1.06455	1.06735	1.06185	1.0662	197715	20
2010-07-06 00:00:00	1.0662	1.06665	1.05615	1.06025	294392	20
2010-07-07 00:00:00	1.06035	1.06365	1.05035	1.05035	311530	22
2010-07-08 00:00:00	1.05035	1.0563	1.0481	1.05005	200783	26
2010-07-09 00:00:00	1.05	1.05925	1.049	1.0575	207370	23
2010-07-11 00:00:00	1.05685	1.05784	1.05445	1.05495	16113	55
2010-07-12 00:00:00	1.05495	1.06755	1.05465	1.06085	274827	20
2010-07-13 00:00:00	1.06085	1.06455	1.05135	1.05525	262659	20
2010-07-14 00:00:00	1.0553	1.06175	1.05079	1.0525	254601	12
2010-07-15 00:00:00	1.0525	1.05465	1.04005	1.04235	347263	18
2010-07-16 00:00:00	1.0423	1.0542	1.03995	1.0503	241766	20
2010-07-18 00:00:00	1.04997	1.0501	1.0476	1.04885	11193	16
2010-07-19 00:00:00	1.04885	1.05605	1.04465	1.054	241152	16
2010-07-20 00:00:00	1.054	1.05475	1.04525	1.05045	241984	17
2010-07-21 00:00:00	1.05045	1.05425	1.0484	1.0503	262494	17
2010-07-22 00:00:00	1.0503	1.05095	1.0394	1.042	221171	13
2010-07-23 00:00:00	1.042	1.0564	1.04075	1.0545	156556	21
2010-07-25 00:00:00	1.05457	1.0547	1.05255	1.05295	4952	14
2010-07-26 00:00:00	1.05285	1.0556	1.04595	1.0495	241957	19
2010-07-27 00:00:00	1.0495	1.064	1.0481	1.0612	321962	20
2010-07-28 00:00:00	1.06105	1.0623	1.05375	1.0565	291602	12
2010-07-29 00:00:00	1.0565	1.05805	1.0373	1.04005	244915	17
2010-07-30 00:00:00	1.04005	1.04665	1.03615	1.04095	241592	20
2010-08-01 00:00:00	1.04011	1.0438	1.03944	1.0431	16700	19
2010-08-02 00:00:00	1.0431	1.04755	1.03475	1.03925	245435	18
2010-08-03 00:00:00	1.03925	1.0414	1.0348	1.0399	260643	18
2010-08-04 00:00:00	1.0399	1.0554	1.03785	1.0538	316027	18
2010-08-05 00:00:00	1.0538	1.0542	1.04125	1.04665	302197	16
2010-08-06 00:00:00	1.04655	1.0508	1.03315	1.0389	199154	15
2010-08-08 00:00:00	1.03784	1.03885	1.03669	1.03845	5300	16
2010-08-09 00:00:00	1.03845	1.05	1.0375	1.0494	276274	13
2010-08-10 00:00:00	1.0494	1.06175	1.04605	1.04915	336621	15
2010-08-11 00:00:00	1.04915	1.0624	1.04915	1.05935	318367	16
2010-08-12 00:00:00	1.05935	1.0596	1.0465	1.0491	272291	17
2010-08-13 00:00:00	1.0491	1.0548	1.0482	1.0508	262133	16
2010-08-15 00:00:00	1.05072	1.052	1.04715	1.05195	8915	66
2010-08-16 00:00:00	1.052	1.0534	1.03505	1.03945	279493	20
